ID,タイトル,作者,領域,作者区分,制作年,メディア種別,作品説明,展示日,画像ファイル名,関連URL（任意）,メモ,6/5　掲載
exhi-1,残響旧街路,Sakaguchi:D,ニューメディア,卒業生,2025年度,ゲーム,"個人制作によるゲームを総合芸術的表現として捉え、世界観構築と各要素の関係性を検討することを目的に研究を進めました。卒業制作として、探索型2Dアドベンチャーゲーム『残響旧街路』を制作し、都市の外れに位置する架空の工業地帯「ポリウム通り」を舞台に、主人公ネオンが人々との会話や残された端末、周囲のオブジェクトを手がかりに、この場所に刻まれた過去の出来事を読み解いていく構成としました。企画、シナリオ、グラフィック、UI、プログラムを一人で担当し、ドット絵によるマップやキャラクターデザイン、テキストウィンドウおよびゲーム内スマートフォン型UIの設計、謎解きやインタラクトの実装を段階的に進めました。Unityを用いた実装と調整を繰り返す中で、操作のテンポや画面構成そのものを体験の一部として位置づけ、操作感や情報の見せ方が世界観やプレイヤー体験に与える影響を検討し、体験版としてプレイ可能な範囲まで制作を進めました。
",両日,image_7.jpeg,https://unityroom.com/games/zankyo-kyu-gairo,,TRUE
exhi-2,もちこの大冒険,KOHAKU,ニューメディア,卒業生,2025年度,ゲーム,"ピクセルアートを用いたゲーム表現の特徴を、2D横スクロールアクションゲームの制作を通して検討しました。卒業制作作品、ゲーム『もちこの大冒険』では可愛らしさと不穏さが同居する世界観を設定し、ドット絵によるキャラクターや背景、ステージ構成を制作しました。Unityを用いて基本的な操作やゲームシステムを実装し、ジャンプや移動、敵との接触といった要素を組み込みました。制作過程では、視認性や操作性に配慮したキャラクターデザインの調整や、ステージ進行に応じた演出の配置を行い、プレイヤー体験を意識した設計を進めました。
",両日,image_27.jpeg,https://www.youtube.com/watch?v=JSDGyxnkVkw,,TRUE
exhi-3,本論に戻る,小森　美沙,編集・インターネット,卒業生,2019年度,本,エイリアンや少子化対策、水無月、ホンモノの世界、こぶ老人は、日常の中で浮かんだ疑問の1つである。プロローグにも書いているが、私は日々疑問と戦っている。どのようにアブダクトするの？　なぜ位置情報に恋人の名前を書くの？　結婚指輪の相場は？　人間を創り出すことはできるの？　老人への給与は妥当なの？　など純真無垢な子どものような視点で世界を見ていることが明白だろう。幼い子どもが、母親にあれなあに？　と質問するかの如く、私は大学生活で培った脳を働かせて自らの手で結論を導き出したのである。「本論に戻る」を制作し終わった今もなお、私は日夜、疑問との闘いを繰り広げている。それが本にできるほどの面白い内容であるかはいささか微妙なラインではあるが、闘い続けている。,両日,image_9.jpeg,,,FALSE
exhi-4,板チョコパッケージのデザイン,,デザイン・アート,グラフィックデザインA履修者の一部,2022-2025年度くらい,パッケージデザイン,グラフィックデザインBのチョコレートパッケージに3Dプリンタ製の板チョコを展示すると、食品サンプルぽくて良いかと思う。,両日,image_8.jpeg,,＊現場での撮影禁止,FALSE
exhi-5,ドナツンハウス,大西彩音,マンガ・アニメ,卒業生,2025年度,,,両日,image_58.jpeg,,,TRUE
exhi-6,みんなの⚪︎⚪︎文字練習帳,-,編集・インターネット,,,,,両日,image_11.jpeg,,,FALSE
exhi-7,,,映像表現,,,,,両日,image_12.jpeg,,,FALSE
exhi-8,,,文学・言語表現,,,,,両日,image_13.jpeg,,,FALSE
exhi-9,,,ワークショップ,,,,,,image_14.jpeg,,,FALSE
,,,,,,,,,,,,
記入メモ,"制作物を追加する場合は空欄または行を追加して記入してください。順番は入力後、展示レイアウトに合わせて入れ替え予定です。
展示作品の形態に当てはまらない卒業生・在校生の取り組みは、2-2_論文・制作レポートのシートに記入してください。

制作物の展示について、卒業生・学生に許諾を得る必要がある？各自確認お願いします。",,,,,,,,,,,
,,,,,,,,,,,,
,⭐️デザイン・アート領域では、以下の作品を保管しています。,,,,,,,,,,,
TRUE,ドナツンハウス,,,,2025,3Dドールハウス１点,,,,,,
TRUE,みんなの⚪︎⚪︎文字練習帳,,,,2025,A4冊子１点,,,,,,
FALSE,ポケモン大学図鑑〜キャンパスに息づくキャラクターたち,,,,2025,データ/Thinglink,,,,,,
FALSE,アミエラ化粧品（昭和レトロ、パッケージ）,,,,2025,A3パネル✖️３点、パッケージ✖️９点,,,,,,
FALSE,クラシックバレエ​衣装立体系譜,,,,2024,編みぐるみバレエ人形✖️数体,,,,,,
FALSE,胸キュンカルタ,,,,2024,かるた１点,,,,,,
FALSE,絶滅危惧種への理解に向けたグラフィックの研究,,,,2022,A2パネル✖️6点？,,,,,,
FALSE,トッピングラボ（カードゲーム）,,,,2021,カード１点,,,,,,
