speaker_id,表示名,氏名,登壇イベント,種別,肩書,画像ファイル名,プロフィール画像の共有（外部ゲストのみ）,プロフィール（200文字程度）,情報収集担当（期限5/25）,列 1
spk-001,光川貴浩,光川貴浩,evt-01,外部ゲスト,編集者,,TRUE,ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。,高尾,
spk-002,水野勝仁,水野勝仁,evt-01,学科教員,甲南女子大学文学部メディア表現学科教授,,FALSE,,,
spk-003,高尾俊介,高尾俊介,evt-01,学科教員,甲南女子大学文学部メディア表現学科准教授,,FALSE,,,
spk-004,学生,学生,evt-01,学生,,,FALSE,診断メディアについて、リサーチや制作プロセスを進めている学生メンバーが、制作の過程や考えていることを学生の視点から話します。,,
spk-005,イロドリちゃん,大西彩音,evt-02,外部ゲスト,2025年度卒業生,irodori_photo.jpeg,TRUE,『イロドリちゃん』とは、ゆるくてかわゆくて温かくて周囲を明るくする、大西彩音によるオリジナルキャラクターです。入学前からほっこりする絵をいっぱい描いていて、ねんど作品や映像作品などにも表現の幅を広げながら、本当にたくさんのキャラクターを創作し発信してきました。2026年4月からは念願の玩具業界で、忙しいながらも楽しみながら物作りに携わっています。,八尾,所属肩書は当日のプレゼンで、と本人希望
spk-006,八尾里絵子,八尾里絵子,"evt-02, evt-05",学科教員,甲南女子大学文学部メディア表現学科教授,,FALSE,,,
spk-007,山下香,山下香,"evt-03, evt-05",学科教員,甲南女子大学文学部メディア表現学科准教授,,FALSE,,,
spk-008,四方亮輔,四方亮輔,evt-03,外部ゲスト,高砂市教育委員会生涯学習課長,guest_evt-03-1.jpg,TRUE,"高砂市立図書館名誉館長事業を担当しています。2代目の村上名誉館長と8年前に始めたHOME TOWN ゼミは、現在4種類のコースができ、高砂市史・映像・まち歩きツアー・社会教育支援と取り組むジャンルや目的もさまざまな活動を行っています。
特に、甲南女子大学の山下ゼミと市民ゼミ生が協力して活動するクリエイティブタウンゼミは、まち歩きツアーを企画・開催し、その成果などを市民に発表するなど主体的な活動を実施しています。",山下,
spk-009,藤井友也,藤井友也,evt-03,外部ゲスト,兵庫県デジタル戦略課地域DX支援班長,guest_evt-03-2.jpg,TRUE,"2020年からスマートフォン等を活用して地域の情報を３D化する取組を続けています。県の取組としても身近な地域の3D化を通じて大学生や地域住民が地域の魅力を再発見する「地域３Dスキャン」事業を推進しています。
多くの人がそれぞれの視点で街の風景を３D化して「その時、その場所」にしかなかった空間をアーカイブしていくことは、地域の記憶を未来へ残していくことにもつながるのではないかと思って取り組んでいます。",山下,
spk-010,宇都宮哲平,宇都宮哲平,evt-03,外部ゲスト,株式会社スカイトーン代表取締役,guest_evt-03-3.jpg,TRUE,株式会社スカイトーン代表取締役。ドローンで空撮や点検などを行うほか、3Dスキャン、フォトグラメトリー等を活用し、地域の風景や文化資源をデジタル化する活動に取り組む。神戸市役所在籍時にはデジタル化専門官としてkintoneやドローン活用を推進した経験を活かしDX人材育成・生成AI活用の講師活動なども行っている。一番スキャンしたいのは恐竜化石。日本古生物学会正会員。,山下,
spk-011,桑原隆彰,桑原隆彰,桑原隆彰,外部ゲスト,シャープ株式会社 総合デザインセンター グローバルコミュニケーションデザイン責任者,,TRUE,ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。ダミーテキストです。,増田,
spk-012,馬場伸彦,馬場伸彦,evt-04,学科教員,甲南女子大学文学部メディア表現学科教授,,FALSE,,,
spk-013,増田のぞみ,増田のぞみ,evt-04,学科教員,甲南女子大学文学部メディア表現学科教授,,FALSE,,,
